District,Name,Enrollment,FreeLunch,ReducedLunch,FreeorReduced,FreeorReducedPrice,FreeOrReducedPercent
729,Boone,1995,584,116,700,35.09,35.1
4772,Central Springs,746,216,45,261,34.99,35
7092,Woodbine,438,124,29,153,34.93,34.9
441,A-H-S-T,597,164,44,208,34.84,34.8
4617,Nevada,1544,455,83,538,34.84,34.8
6992,Westwood,522,123,58,181,34.67,34.7
4068,Marcus-Meriden-Cleghorn,399,96,42,138,34.59,34.6
2511,Glenwood,1958,520,154,674,34.42,34.4
108,Alden,228,56,22,78,34.21,34.2
6094,Southeast Warren,476,113,50,163,34.24,34.2
999,Carroll,1684,441,134,575,34.14,34.1
126,Algona,1358,331,129,460,33.87,33.9
1079,Central Lee,1068,279,83,362,33.9,33.9
3105,Independence,1368,351,113,464,33.92,33.9
5697,Rudd-Rockford-Marble Rk,461,125,31,156,33.84,33.8
3141,Iowa City,12930,3884,475,4359,33.71,33.7
5751,St Ansgar,632,143,70,213,33.7,33.7
5922,West Fork CSD,659,150,72,222,33.69,33.7
1965,Easton Valley,485,127,36,163,33.61,33.6
4773,Northeast,840,231,50,281,33.45,33.5
7056,Winterset,1710,466,105,571,33.39,33.4
63,Akron Westfield,552,135,49,184,33.33,33.3
540,BCLUW,604,166,35,201,33.28,33.3
1963,East Buchanan,564,140,47,187,33.16,33.2
6957,West Des Moines,8963,2495,479,2974,33.18,33.2
6095,South Hamilton,689,172,56,228,33.09,33.1
4785,North Tama County,476,110,46,156,32.77,32.8
6950,West Delaware County,1463,358,122,480,32.81,32.8
1215,Clarksville,306,83,17,100,32.68,32.7
4599,Nashua-Plainfield,596,129,66,195,32.72,32.7
6012,Sigourney,537,125,50,175,32.59,32.6
918,Calamus-Wheatland,490,99,60,159,32.45,32.4
1080,Central,452,112,34,146,32.3,32.3
3600,Le Mars,2056,540,124,664,32.3,32.3
5256,Pleasantville,677,181,34,215,31.76,31.8
2826,Harlan,1495,357,114,471,31.51,31.5
3119,Interstate 35,826,184,76,260,31.48,31.5
4437,Montezuma,505,120,38,158,31.29,31.3
7038,Wilton,815,191,63,254,31.17,31.2
2403,Garner-Hayfield,822,183,73,256,31.14,31.1
2846,Harris-Lake Park,350,76,33,109,31.14,31.1
747,Boyden-Hull,630,133,62,195,30.95,31
4446,Monticello,1081,251,84,335,30.99,31
621,Bettendorf,4392,1108,248,1356,30.87,30.9
1197,Clarinda,1194,299,70,369,30.9,30.9
4662,New Hampton,972,241,58,299,30.76,30.8
6273,Sumner-Fredericksburg,825,174,79,253,30.67,30.7
2763,Clayton Ridge,871,196,70,266,30.54,30.5
1089,Central City,447,118,18,136,30.43,30.4
1337,College,5100,1265,283,1548,30.35,30.4
6100,South Winneshiek,497,92,59,151,30.38,30.4
846,Brooklyn-Guernsey-Malcom,552,125,42,167,30.25,30.3
6633,Ventura,232,60,10,70,30.17,30.2
1350,Collins-Maxwell,442,96,37,133,30.09,30.1
6921,West Bend-Mallard,355,87,20,107,30.14,30.1
4149,MOC-Floyd Valley,1380,314,97,411,29.78,29.8
5877,Sergeant Bluff-Luton,1583,394,76,470,29.69,29.7
4023,Manson Northwest Webster,696,156,50,206,29.6,29.6
4995,Osage,925,203,70,273,29.51,29.5
225,Ames,4206,1033,190,1223,29.08,29.1
2502,Gladbrook-Reinbeck,523,120,32,152,29.06,29.1
3798,Logan-Magnolia,633,139,45,184,29.07,29.1
5486,Remsen-Union,353,63,39,102,28.9,28.9
6536,Union,1150,253,78,331,28.78,28.8
279,Aplington-Parkersburg,837,168,72,240,28.67,28.7
6561,United,216,44,18,62,28.7,28.7
3942,Madrid,668,141,50,191,28.59,28.6
4086,Marion Independent,2063,491,98,589,28.55,28.6
4271,Mid-Prairie,1295,259,111,370,28.57,28.6
6471,Tripoli,413,78,40,118,28.57,28.6
2376,Galva-Holstein,413,83,34,117,28.33,28.3
3348,Kingsley-Pierson,434,104,19,123,28.34,28.3
2727,Grundy Center,661,141,44,185,27.99,28
3330,Keota,307,82,4,86,28.01,28
1095,Central Lyon,687,164,28,192,27.95,27.9
6101,Southeast Polk,6590,1536,305,1841,27.94,27.9
1082,Central DeWitt,1452,326,75,401,27.62,27.6
5160,PCM,1072,230,64,294,27.43,27.4
6961,Western Dubuque,3107,610,242,852,27.42,27.4
6985,West Marshall,912,199,51,250,27.41,27.4
981,Carlisle,2008,438,106,544,27.09,27.1
1926,Durant,671,163,19,182,27.12,27.1
6120,Spirit Lake,1215,267,62,329,27.08,27.1
2520,Glidden-Ralston,309,66,17,83,26.86,26.9
3114,Indianola,3503,723,218,941,26.86,26.9
6408,Tipton,931,193,57,250,26.85,26.9
3744,Lisbon,649,139,34,173,26.66,26.7
1638,Decorah Community,1687,295,154,449,26.62,26.6
2766,H-L-V,312,55,27,82,26.28,26.3
1791,Dike-New Hartford,850,170,53,223,26.24,26.2
4203,Mediapolis,846,158,60,218,25.77,25.8
7029,Williamsburg,1159,244,55,299,25.8,25.8
3204,Jesup,914,187,47,234,25.6,25.6
6460,Tri-Center,668,119,50,169,25.3,25.3
6165,Stanton,228,41,16,57,25,25
6840,Waverly-Shell Rock,2227,453,103,556,24.97,25
2977,Highland,652,129,33,162,24.85,24.8
6509,Turkey Valley,364,61,29,90,24.73,24.7
6579,Urbandale,3888,794,163,957,24.61,24.6
3042,Hudson,705,135,37,172,24.4,24.4
3906,Lynnville-Sully,467,65,48,113,24.2,24.2
513,Baxter,425,82,20,102,24,24
609,Benton,1420,258,83,341,24.01,24
6138,Springville,357,69,16,85,23.81,23.8
585,Bellevue,621,109,38,147,23.67,23.7
4784,North Scott,3096,574,153,727,23.48,23.5
5163,Pekin,685,126,35,161,23.5,23.5
1233,Clear Lake,1273,219,73,292,22.94,22.9
4122,Martensdale-St Marys,538,93,30,123,22.86,22.9
27,Adel DeSoto Minburn,1629,282,83,365,22.41,22.4
1953,Earlham,626,117,20,137,21.88,21.9
1044,Cedar Falls,5125,891,224,1115,21.76,21.8
6930,West Branch,799,159,15,174,21.78,21.8
1602,Danville,628,104,32,136,21.66,21.7
6983,West Lyon,872,122,65,187,21.44,21.4
4878,Ogden,687,113,31,144,20.96,21
3555,Lawton-Bronson,615,88,40,128,20.81,20.8
5643,Roland-Story,1060,166,53,219,20.66,20.7
720,Bondurant-Farrar,1755,271,91,362,20.63,20.6
3186,Janesville Consolidated,350,55,17,72,20.57,20.6
5166,Pella,2165,308,124,432,19.95,20
4777,North Linn,638,101,26,127,19.91,19.9
1221,Clear Creek Amana,2031,310,88,398,19.6,19.6
2988,Hinton,739,107,38,145,19.62,19.6
1576,Dallas Center-Grimes,2574,341,159,500,19.43,19.4
7098,Woodbury Central,574,80,30,110,19.16,19.2
472,Ballard,1712,274,45,319,18.63,18.6
4797,Norwalk,2619,387,97,484,18.48,18.5
3715,Linn-Mar,7088,1070,203,1273,17.96,18
6534,Underwood,747,88,39,127,17,17
6762,Wapsie Valley,718,88,28,116,16.16,16.2
99,Alburnett,622,77,20,97,15.59,15.6
3231,Johnston,6620,855,178,1033,15.6,15.6
6822,Waukee,8531,1032,225,1257,14.73,14.7
1062,Center Point-Urbana,1440,179,30,209,14.51,14.5
4554,Mount Vernon,1249,138,30,168,13.45,13.5
4779,North Polk,1459,141,54,195,13.37,13.4
1719,Denver,730,69,28,97,13.29,13.3
261,Ankeny,10169,1024,305,1329,13.07,13.1
6615,Van Meter,675,58,23,81,12,12
5250,Pleasant Valley,4332,383,69,452,10.43,10.4
6093,Solon,1412,84,35,119,8.43,8.4
2466,Gilbert,1397,86,23,109,7.8,7.8
6453,Treynor,775,35,15,50,6.45,6.5
